Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
76 3.8207 0.3825 0.9832 0.8644 0.1188 0.0484 0.0294 0.0190 0.2081 0.9720 0.7639
77 3.9432 0.3793 0.9742 0.8723 0.1019 0.0502 0.0432 0.0070 0.2055 0.9828 0.7774
78 3.7250 0.3780 0.9692 0.8486 0.1207 0.0249 0.0227 0.0022 0.1928 0.9428 0.7500
79 4.0147 0.3708 0.9741 0.8656 0.1085 0.0310 0.0172 0.0137 0.1920 0.9477 0.7557
80 3.6922 0.3799 0.9721 0.8552 0.1169 0.0354 0.0044 0.0310 0.1840 0.9852 0.8012
81 4.0221 0.3837 0.9381 0.8861 0.0520 0.0559 0.0159 0.0399 0.1849 0.9485 0.7636
82 4.0271 0.3972 0.9381 0.8843 0.0538 0.0535 0.0121 0.0414 0.1760 0.9457 0.7698
83 4.1288 0.3812 0.9768 0.8838 0.0931 0.0229 0.0053 0.0176 0.2101 0.9853 0.7753
84 4.2192 0.3822 0.9697 0.8808 0.0889 0.0167 0.0162 0.0005 0.1954 0.9979 0.8025
85 4.1130 0.3848 0.9592 0.8600 0.0992 0.0347 0.0363 0.0016 0.1923 0.9943 0.8020
86 4.1673 0.4131 0.9645 0.8388 0.1257 0.0376 0.0057 0.0319 0.1855 1.0075 0.8220
87 3.9251 0.3353 0.9632 0.8895 0.0736 0.0593 0.0121 0.0473 0.1869 1.0111 0.8242
88 4.3735 0.3266 0.9662 0.8793 0.0868 0.0553 0.0194 0.0359 0.2024 1.0533 0.8509
89 4.1489 0.3773 0.9688 0.8610 0.1078 0.0072 0.0178 0.0106 0.1939 1.0915 0.8976
90 4.2101 0.3861 0.9624 0.8699 0.0925 0.0051 0.0138 0.0088 0.2002 1.0199 0.8198
91 4.4579 0.4284 0.9589 0.8547 0.1043 0.0079 0.0273 0.0195 0.1926 1.0227 0.8301
92 4.2511 0.3948 0.9526 0.8633 0.0893 0.0112 0.0013 0.0099 0.1866 0.9651 0.7785
93 4.1955 0.4061 0.9612 0.8638 0.0974 0.0176 0.0087 0.0089 0.2170 0.9977 0.7807
94 3.1422 0.3634 0.9704 0.8457 0.1248 0.0149 0.0008 0.0141 0.2142 1.0323 0.8181
95 3.6708 0.3588 0.9727 0.8695 0.1031 0.0220 0.0157 0.0064 0.2142 1.0352 0.8210
96 3.4728 0.3439 0.9764 0.8776 0.0987 0.0234 0.0201 0.0034 0.2141 0.9707 0.7566
97 3.6370 0.4042 0.9724 0.8357 0.1367 0.0386 0.0380 0.0006 0.2032 0.9591 0.7559
98 3.2367 0.3603 0.9749 0.8587 0.1162 0.0647 0.0505 0.0142 0.2003 1.0473 0.8471
99 3.6935 0.3330 0.9827 0.8846 0.0981 0.0714 0.0473 0.0241 0.2003 0.9919 0.7916
100 3.5488 0.3370 0.9774 0.8885 0.0888 0.0684 0.0528 0.0157 0.1937 0.9606 0.7669
