Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
101 1.2636 1.2261 0.6933 0.0243 0.6690 0.0026 0.0346 0.0320 0.3552 0.6563 0.3011
102 1.2830 1.2301 0.7004 0.0335 0.6669 0.0083 0.0345 0.0263 0.3678 0.6470 0.2792
103 1.3424 1.2336 0.6955 0.0325 0.6630 0.0065 0.0187 0.0122 0.3562 0.6712 0.3150
104 1.2434 1.2228 0.7013 0.0514 0.6499 0.0007 0.0051 0.0044 0.3762 0.6479 0.2718
105 1.3141 1.2498 0.6979 0.0352 0.6627 0.0106 0.0098 0.0008 0.3932 0.6465 0.2534
106 1.2724 1.2290 0.7037 0.0371 0.6667 0.0065 0.0144 0.0079 0.4084 0.6490 0.2406
107 1.3426 1.2381 0.7132 0.0461 0.6672 0.0048 0.0094 0.0046 0.3556 0.2323 0.1234
108 1.2947 1.2470 0.7172 0.0337 0.6835 0.0009 0.0250 0.0241 0.3352 0.6469 0.3117
109 1.3503 1.2615 0.7153 0.0278 0.6875 0.0003 0.0528 0.0524 0.3683 0.7057 0.3374
110 1.3769 1.2483 0.7257 0.0369 0.6888 0.0023 0.0292 0.0268 0.3441 0.7834 0.4394
111 1.3971 1.2248 0.7084 0.0409 0.6675 0.0099 0.0094 0.0005 0.3340 0.6503 0.3163
112 1.2967 1.2227 0.7098 0.0454 0.6644 0.0065 0.0125 0.0060 0.5259 0.6504 0.1246
113 1.3587 1.2446 0.6985 0.0331 0.6653 0.0049 0.0015 0.0034 0.3423 0.6512 0.3089
114 1.4208 1.2314 0.6906 0.0359 0.6547 0.0117 0.0055 0.0061 0.5652 0.8227 0.2575
115 1.3161 1.2507 0.6890 0.0325 0.6566 0.0033 0.0024 0.0009 0.5224 1.3749 0.8525
116 1.3364 1.2359 0.6828 0.0269 0.6559 0.0105 0.0265 0.0160 0.4451 0.8256 0.3805
117 1.3256 1.2562 0.6927 0.0213 0.6714 0.0066 0.0055 0.0011 0.4238 0.7825 0.3587
118 1.3443 1.2442 0.6979 0.0301 0.6679 0.0022 0.0017 0.0005 0.4225 0.8244 0.4019
119 1.3441 1.2185 0.6848 0.0423 0.6425 0.0043 0.0091 0.0048 0.4961 0.7676 0.2715
120 1.3414 1.2344 0.6918 0.0190 0.6727 0.0004 0.0229 0.0225 0.5020 0.3374 0.1646
121 1.3632 1.2310 0.6915 0.0281 0.6634 0.0010 0.0184 0.0174 0.5107 0.6538 0.1431
122 1.3890 1.2480 0.6917 0.0156 0.6761 0.0010 0.0039 0.0029 0.3309 0.6388 0.3079
123 1.4095 1.2600 0.6909 0.0126 0.6784 0.0027 0.0101 0.0074 0.5124 1.1470 0.6346
124 1.4153 1.2416 0.6938 0.0383 0.6555 0.0001 0.0049 0.0048 0.3594 0.6547 0.2953
125 1.4232 1.2246 0.7018 0.0562 0.6456 0.0010 0.0016 0.0007 0.3589 0.6568 0.2979
126 1.3882 1.2325 0.7062 0.0508 0.6554 0.0074 0.0084 0.0009 0.5613 0.7486 0.1873
127 1.3518 1.2324 0.6987 0.0378 0.6608 0.0136 0.0277 0.0142 0.5397 0.6532 0.1135
128 1.4118 1.2733 0.6958 0.0171 0.6786 0.0139 0.0153 0.0014 0.5372 1.2812 0.7440
129 1.4194 1.2380 0.6917 0.0330 0.6587 0.0161 0.0101 0.0060 0.5352 0.7500 0.2148
130 1.4671 1.2420 0.7045 0.0384 0.6660 0.0202 0.0184 0.0018 0.5372 0.4564 0.0808
131 1.4681 1.2191 0.7155 0.0507 0.6648 0.0169 0.0112 0.0057 0.5384 0.8155 0.2771
132 1.4679 1.2334 0.7180 0.0389 0.6791 0.0126 0.0164 0.0038 0.5445 0.3978 0.1467
133 1.4564 1.2408 0.7170 0.0256 0.6914 0.0145 0.0016 0.0129 0.5444 0.7868 0.2424
134 1.4265 1.2411 0.7201 0.0289 0.6911 0.0032 0.0123 0.0091 0.5427 0.8163 0.2736
135 1.4165 1.2389 0.7159 0.0438 0.6721 0.0012 0.0029 0.0017 0.5412 0.8640 0.3228
136 1.4749 1.2620 0.7253 0.0377 0.6876 0.0029 0.0087 0.0058 0.4673 0.6559 0.1887
137 1.4542 1.2431 0.7398 0.0405 0.6993 0.0012 0.0069 0.0057 0.5425 0.6578 0.1153
138 1.4392 1.2111 0.7390 0.0451 0.6938 0.0003 0.0164 0.0161 0.5416 0.6579 0.1163
139 1.4490 1.2216 0.7339 0.0280 0.7058 0.0056 0.0106 0.0050 0.3724 0.6779 0.3055
140 1.4735 1.1927 0.7363 0.0539 0.6824 0.0027 0.0075 0.0049 0.5307 0.9072 0.3765
141 1.4560 1.2413 0.7340 0.0314 0.7025 0.0000 0.0070 0.0070 0.5324 0.8104 0.2780
142 1.4464 1.2388 0.7289 0.0371 0.6918 0.0082 0.0099 0.0017 0.5422 0.8893 0.3472
143 1.4277 1.2416 0.7409 0.0138 0.7271 0.0189 0.0022 0.0167 0.3878 0.2951 0.0927
144 1.4052 1.2377 0.7316 0.0379 0.6937 0.0214 0.0161 0.0053 0.5435 0.2388 0.3047
145 1.4284 1.2572 0.7360 0.0254 0.7106 0.0123 0.0037 0.0086 0.5411 0.6974 0.1563
146 1.4341 1.2307 0.7289 0.0321 0.6968 0.0062 0.0123 0.0061 0.5421 1.1738 0.6317
