Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
73 0.8943 0.4474 0.7202 0.9272 0.2070 0.0150 0.0230 0.0080 0.3339 0.6282 0.2943
74 0.9146 0.4709 0.7081 0.9255 0.2173 0.0040 0.0227 0.0186 0.3392 0.6282 0.2889
75 0.9106 0.4651 0.6999 0.9259 0.2260 0.0053 0.0227 0.0174 0.3733 0.6287 0.2554
76 0.9662 0.4703 0.7186 0.9262 0.2076 0.0022 0.0227 0.0205 0.5374 0.6289 0.0915
77 0.9323 0.4596 0.7217 0.9255 0.2038 0.0159 0.0238 0.0079 0.3455 0.6291 0.2836
78 0.9333 0.4253 0.7446 0.9259 0.1812 0.0116 0.0238 0.0121 0.2778 0.6294 0.3517
79 0.9756 0.4421 0.7383 0.9247 0.1864 0.0050 0.0232 0.0181 0.2766 0.6297 0.3531
80 0.9556 0.4396 0.7418 0.9244 0.1826 0.0029 0.0229 0.0200 0.4248 0.6300 0.2053
81 0.9479 0.4460 0.7342 0.9240 0.1898 0.0104 0.0230 0.0126 0.5223 0.6301 0.1078
82 0.9501 0.4496 0.7294 0.9238 0.1944 0.0204 0.0227 0.0023 0.2914 0.6303 0.3389
83 0.9481 0.4558 0.7288 0.9239 0.1951 0.0190 0.0236 0.0046 0.3688 0.6306 0.2618
84 0.9566 0.4596 0.7294 0.9234 0.1940 0.0195 0.0233 0.0038 0.3685 0.6310 0.2625
85 0.9637 0.4664 0.7160 0.9242 0.2082 0.0326 0.0228 0.0098 0.3757 0.6314 0.2557
86 0.9837 0.4762 0.7143 0.9245 0.2102 0.0248 0.0222 0.0026 0.3012 0.6316 0.3303
87 1.0045 0.4693 0.7144 0.9244 0.2100 0.0224 0.0226 0.0002 0.2991 0.6319 0.3328
88 1.0204 0.4688 0.7170 0.9243 0.2073 0.0240 0.0227 0.0013 0.3018 0.6321 0.3303
89 1.0580 0.4611 0.7225 0.9236 0.2010 0.0196 0.0226 0.0029 0.3452 0.6325 0.2872
90 1.0805 0.4721 0.7289 0.9232 0.1943 0.0185 0.0224 0.0038 0.2932 0.6329 0.3397
91 1.0748 0.4712 0.7265 0.9234 0.1969 0.0211 0.0227 0.0016 0.3515 0.6331 0.2816
92 1.0710 0.4637 0.7409 0.9237 0.1828 0.0221 0.0222 0.0002 0.3516 0.6332 0.2816
93 1.0894 0.4422 0.7410 0.9236 0.1825 0.0179 0.0222 0.0043 0.3546 0.6334 0.2788
94 1.0039 0.4563 0.7411 0.9234 0.1823 0.0103 0.0226 0.0122 0.3432 0.6337 0.2905
95 0.9957 0.4620 0.7364 0.9233 0.1869 0.0086 0.0227 0.0141 0.3652 0.6341 0.2689
96 1.0435 0.4704 0.7368 0.9228 0.1860 0.0068 0.0229 0.0161 0.3651 0.6344 0.2693
97 1.0813 0.4747 0.7329 0.9226 0.1897 0.0006 0.0220 0.0214 0.3481 0.6345 0.2863
98 1.1183 0.4862 0.7144 0.9223 0.2079 0.0071 0.0227 0.0157 0.3340 0.6349 0.3009
99 1.1118 0.4851 0.6998 0.9202 0.2204 0.0076 0.0246 0.0170 0.3325 0.6350 0.3025
100 1.1145 0.4732 0.7052 0.9222 0.2170 0.0091 0.0224 0.0133 0.3642 0.6351 0.2709
101 1.0424 0.4811 0.6933 0.9198 0.2265 0.0026 0.0253 0.0227 0.3552 0.6356 0.2804
102 1.0600 0.4680 0.7004 0.9209 0.2205 0.0083 0.0249 0.0167 0.3678 0.6360 0.2682
103 1.0831 0.4849 0.6955 0.9196 0.2242 0.0065 0.0254 0.0188 0.3562 0.6362 0.2800
104 1.0782 0.4659 0.7013 0.9198 0.2185 0.0007 0.0244 0.0237 0.3762 0.6363 0.2601
105 1.1100 0.4747 0.6979 0.9210 0.2231 0.0106 0.0230 0.0124 0.3932 0.6366 0.2435
106 1.0930 0.4671 0.7037 0.9210 0.2173 0.0065 0.0233 0.0168 0.4084 0.6368 0.2283
107 1.0977 0.4544 0.7132 0.9217 0.2085 0.0048 0.0226 0.0177 0.3556 0.6368 0.2812
108 1.0723 0.4543 0.7172 0.9219 0.2048 0.0009 0.0249 0.0240 0.3352 0.6373 0.3020
109 1.1379 0.4560 0.7153 0.9222 0.2070 0.0003 0.0247 0.0243 0.3683 0.6375 0.2691
110 1.1604 0.4400 0.7257 0.9211 0.1954 0.0023 0.0256 0.0233 0.3441 0.6378 0.2938
111 1.1516 0.4597 0.7084 0.9225 0.2141 0.0099 0.0246 0.0147 0.3340 0.6383 0.3042
112 1.0807 0.4523 0.7098 0.9224 0.2126 0.0065 0.0251 0.0187 0.5259 0.6386 0.1128
113 1.1178 0.4579 0.6985 0.9220 0.2235 0.0049 0.0256 0.0207 0.3423 0.6388 0.2965
114 1.1921 0.4692 0.6906 0.9220 0.2315 0.0117 0.0261 0.0144 0.5652 0.6391 0.0739
115 1.1080 0.4992 0.6890 0.9221 0.2330 0.0033 0.0263 0.0230 0.5224 0.6394 0.1170
116 1.1332 0.4857 0.6828 0.9222 0.2395 0.0105 0.0262 0.0157 0.4451 0.6398 0.1947
117 1.1293 0.4823 0.6927 0.9221 0.2294 0.0066 0.0262 0.0196 0.4238 0.6401 0.2163
118 1.1491 0.4800 0.6979 0.9220 0.2241 0.0022 0.0267 0.0245 0.4225 0.6406 0.2182
119 1.1428 0.4959 0.6848 0.9219 0.2371 0.0043 0.0267 0.0223 0.4961 0.6408 0.1447
120 1.1570 0.4923 0.6918 0.9221 0.2303 0.0004 0.0269 0.0265 0.5020 0.6412 0.1392
121 1.1880 0.4972 0.6915 0.9212 0.2297 0.0010 0.0262 0.0252 0.5107 0.6416 0.1309
122 1.1857 0.5044 0.6917 0.9212 0.2296 0.0010 0.0261 0.0251 0.3309 0.6419 0.3110
123 1.2204 0.4976 0.6909 0.9214 0.2305 0.0027 0.0264 0.0238 0.5124 0.6423 0.1300
124 1.2014 0.4797 0.6938 0.9213 0.2275 0.0001 0.0265 0.0264 0.3594 0.6427 0.2833
125 1.1916 0.4714 0.7018 0.9212 0.2194 0.0010 0.0262 0.0252 0.3589 0.6430 0.2841
126 1.1826 0.4632 0.7062 0.9215 0.2153 0.0074 0.0262 0.0187 0.5613 0.6432 0.0819
127 1.1572 0.4426 0.6987 0.9217 0.2230 0.0136 0.0259 0.0123 0.5397 0.6436 0.1038
128 1.1807 0.4498 0.6958 0.9216 0.2258 0.0139 0.0262 0.0123 0.5372 0.6440 0.1067
129 1.2030 0.4447 0.6917 0.9219 0.2302 0.0161 0.0265 0.0104 0.5352 0.6445 0.1093
130 1.2298 0.4397 0.7045 0.9216 0.2172 0.0202 0.0252 0.0050 0.5372 0.6446 0.1074
131 1.1963 0.4473 0.7155 0.9217 0.2062 0.0169 0.0247 0.0078 0.5384 0.6448 0.1064
132 1.2048 0.4425 0.7180 0.9214 0.2033 0.0126 0.0257 0.0131 0.5445 0.6453 0.1008
133 1.2013 0.4543 0.7170 0.9213 0.2043 0.0145 0.0260 0.0115 0.5444 0.6457 0.1013
134 1.1528 0.4516 0.7201 0.9213 0.2012 0.0032 0.0258 0.0226 0.5427 0.6465 0.1038
135 1.1815 0.4638 0.7159 0.9215 0.2056 0.0012 0.0261 0.0249 0.5412 0.6468 0.1055
136 1.2822 0.4627 0.7253 0.9209 0.1956 0.0029 0.0254 0.0225 0.4673 0.6468 0.1795
137 1.2596 0.4698 0.7398 0.9215 0.1817 0.0012 0.0259 0.0247 0.5425 0.6471 0.1046
138 1.2101 0.4659 0.7390 0.9212 0.1822 0.0003 0.0262 0.0258 0.5416 0.6475 0.1059
139 1.1947 0.4554 0.7339 0.9219 0.1880 0.0056 0.0270 0.0214 0.3724 0.6479 0.2755
140 1.2788 0.4522 0.7363 0.9221 0.1858 0.0027 0.0271 0.0244 0.5307 0.6483 0.1176
141 1.2214 0.4615 0.7340 0.9225 0.1885 0.0000 0.0271 0.0271 0.5324 0.6486 0.1161
142 1.2279 0.4599 0.7289 0.9221 0.1932 0.0082 0.0271 0.0189 0.5422 0.6489 0.1067
143 1.2126 0.4359 0.7409 0.9206 0.1798 0.0189 0.0274 0.0086 0.3878 0.6494 0.2616
144 1.2479 0.4465 0.7316 0.9214 0.1898 0.0214 0.0288 0.0074 0.5435 0.6499 0.1064
145 1.2448 0.4410 0.7360 0.9219 0.1859 0.0123 0.0279 0.0156 0.5411 0.6503 0.1092
146 1.2307 0.4429 0.7289 0.9215 0.1926 0.0062 0.0274 0.0212 0.5421 0.6505 0.1084
147 1.2591 0.4399 0.7343 0.9215 0.1872 0.0088 0.0276 0.0189 0.5433 0.6509 0.1076
148 1.2948 0.4497 0.7408 0.9209 0.1800 0.0174 0.0270 0.0095 0.5435 0.6510 0.1075
149 1.2855 0.4412 0.7495 0.9212 0.1717 0.0166 0.0279 0.0113 0.5438 0.6515 0.1078
150 1.2821 0.4268 0.7592 0.9211 0.1619 0.0228 0.0281 0.0053 0.5184 0.6519 0.1335
151 1.2347 0.4193 0.7683 0.9205 0.1521 0.0119 0.0291 0.0171 0.5446 0.6523 0.1076
152 1.2286 0.4248 0.7508 0.9204 0.1696 0.0017 0.0286 0.0269 0.5437 0.6525 0.1089
153 1.2318 0.4455 0.7634 0.9202 0.1568 0.0041 0.0286 0.0244 0.5444 0.6529 0.1086
154 1.2402 0.4449 0.7563 0.9204 0.1641 0.0013 0.0293 0.0280 0.5436 0.6534 0.1098
155 1.2996 0.4289 0.7641 0.9198 0.1557 0.0095 0.0290 0.0196 0.5431 0.6535 0.1104
156 1.2940 0.4193 0.7686 0.9196 0.1510 0.0087 0.0293 0.0206 0.5439 0.6539 0.1100
157 1.2728 0.4108 0.7767 0.9198 0.1431 0.0022 0.0294 0.0272 0.5436 0.6542 0.1105
158 1.2741 0.4133 0.7847 0.9199 0.1352 0.0033 0.0292 0.0259 0.5432 0.6545 0.1113
159 1.2781 0.4077 0.7790 0.9194 0.1404 0.0057 0.0287 0.0230 0.5436 0.6547 0.1111
160 1.2302 0.4158 0.7838 0.9197 0.1359 0.0004 0.0298 0.0294 0.5413 0.6553 0.1140
161 1.2371 0.4216 0.7867 0.9190 0.1323 0.0034 0.0294 0.0259 0.5439 0.6554 0.1114
162 1.2411 0.4218 0.7913 0.9173 0.1260 0.0104 0.0281 0.0177 0.5445 0.6557 0.1112
163 1.2301 0.4096 0.7942 0.9172 0.1230 0.0119 0.0287 0.0168 0.5455 0.6560 0.1106
164 1.2246 0.4209 0.7878 0.9170 0.1292 0.0162 0.0283 0.0121 0.5441 0.6564 0.1123
165 1.2079 0.4244 0.7874 0.9167 0.1293 0.0085 0.0279 0.0194 0.5427 0.6567 0.1140
166 1.1994 0.4053 0.7888 0.9174 0.1286 0.0103 0.0293 0.0190 0.5428 0.6571 0.1143
167 1.2168 0.4159 0.7799 0.9171 0.1372 0.0033 0.0302 0.0268 0.5417 0.6573 0.1156
168 1.2003 0.4088 0.7832 0.9153 0.1321 0.0033 0.0319 0.0286 0.5399 0.6580 0.1181
